epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0884,0.81747,3.62518,1.28127,0.03368,0.80366,0.10136,0.09593,0.40724,3.20088,0.96184,0.000164609,0.000164609,0.000164609
2,19.0793,0.8454,3.15577,1.31742,0.46528,0.29222,0.19049,0.15737,0.64026,2.54524,1.12375,0.000320344,0.000320344,0.000320344
3,27.8878,0.88883,2.87297,1.32623,0.36932,0.49598,0.17169,0.13556,0.74807,2.57921,1.24746,0.000465078,0.000465078,0.000465078
4,36.5758,0.88244,2.73408,1.31834,0.31983,0.30276,0.18862,0.15209,0.72012,2.36089,1.15717,0.0004505,0.0004505,0.0004505
5,45.3582,0.84497,2.62511,1.2968,0.28218,0.49406,0.17591,0.14084,0.68057,2.5052,1.12788,0.000434,0.000434,0.000434
6,54.0453,0.8278,2.51768,1.27978,0.31048,0.39601,0.1761,0.1486,0.60732,2.22398,1.09868,0.0004175,0.0004175,0.0004175
7,62.5632,0.77589,2.41744,1.23623,0.31131,0.34406,0.18444,0.15078,0.568,2.13899,1.07976,0.000401,0.000401,0.000401
8,71.1178,0.76111,2.36454,1.22045,0.3089,0.40605,0.18824,0.16597,0.52086,2.10688,1.043,0.0003845,0.0003845,0.0003845
9,79.8154,0.74129,2.26964,1.22022,0.51911,0.39009,0.25336,0.20758,0.56518,2.03936,1.0567,0.000368,0.000368,0.000368
10,88.3903,0.72973,2.204,1.19512,0.43414,0.41174,0.22806,0.1849,0.61931,2.07992,1.06972,0.0003515,0.0003515,0.0003515
11,97.0117,0.72345,2.1401,1.186,0.56298,0.28292,0.19104,0.15963,0.53284,2.14751,1.07108,0.000335,0.000335,0.000335
12,105.613,0.69677,2.06981,1.17108,0.39357,0.39884,0.24174,0.20508,0.52209,1.9682,1.03548,0.0003185,0.0003185,0.0003185
13,114.2,0.64594,2.04155,1.13895,0.4386,0.31334,0.24479,0.22,0.50235,2.03093,1.02398,0.000302,0.000302,0.000302
14,122.809,0.63518,1.95067,1.12952,0.38313,0.29504,0.23903,0.21717,0.51331,1.99848,1.02116,0.0002855,0.0002855,0.0002855
15,131.361,0.63887,1.91056,1.13596,0.66401,0.25197,0.24035,0.2157,0.47917,2.09887,0.98806,0.000269,0.000269,0.000269
16,140.082,0.61593,1.78194,1.10212,0.43483,0.34223,0.28351,0.25412,0.49102,2.04697,1.00292,0.0002525,0.0002525,0.0002525
17,148.794,0.62211,1.81881,1.13678,0.48279,0.34648,0.3126,0.27738,0.49743,1.88736,1.00812,0.000236,0.000236,0.000236
18,157.32,0.59759,1.74547,1.10356,0.47809,0.39318,0.27648,0.24587,0.48406,1.98526,1.00553,0.0002195,0.0002195,0.0002195
19,165.828,0.57738,1.72247,1.08429,0.4379,0.4374,0.33328,0.30005,0.48715,1.93773,1.0066,0.000203,0.000203,0.000203
20,174.471,0.58313,1.66522,1.08705,0.45887,0.38839,0.3336,0.29439,0.49995,1.83699,1.02131,0.0001865,0.0001865,0.0001865
21,182.28,0.45482,1.72313,1.05353,0.4776,0.3978,0.36075,0.32289,0.48542,1.79842,1.0099,0.00017,0.00017,0.00017
22,190.138,0.42751,1.56975,1.02845,0.6013,0.30528,0.32828,0.29056,0.51286,1.95194,1.04248,0.0001535,0.0001535,0.0001535
23,197.944,0.42185,1.4773,1.03082,0.53606,0.39856,0.32524,0.29637,0.4378,1.92788,0.98981,0.000137,0.000137,0.000137
24,205.907,0.40871,1.40501,1.00178,0.52187,0.40523,0.36728,0.33463,0.46539,1.72385,1.00099,0.0001205,0.0001205,0.0001205
25,213.946,0.39091,1.30479,1.00323,0.56924,0.3681,0.37466,0.3436,0.44818,1.74928,0.98432,0.000104,0.000104,0.000104
26,222.321,0.39039,1.24746,0.99124,0.61592,0.37059,0.40119,0.37091,0.44828,1.73428,0.99154,8.75e-05,8.75e-05,8.75e-05
27,230.648,0.37653,1.18607,0.98356,0.58265,0.3574,0.37138,0.34026,0.43942,1.75458,0.98147,7.1e-05,7.1e-05,7.1e-05
28,239.124,0.36457,1.13107,0.98818,0.63936,0.34075,0.38167,0.35123,0.45916,1.69952,0.99308,5.45e-05,5.45e-05,5.45e-05
29,247.34,0.3576,1.13157,0.96785,0.69811,0.33316,0.39386,0.36189,0.4218,1.67996,0.96607,3.8e-05,3.8e-05,3.8e-05
30,255.429,0.35429,1.1045,0.95954,0.75478,0.31602,0.38357,0.35694,0.4234,1.68722,0.97056,2.15e-05,2.15e-05,2.15e-05
